RYear,RMonth,Location,MajorType,Units,Cost,Bedrooms,Use per Day,unit rate,Use per Bdrm per Day
2021,1,Alpine Crest Apartments,Electric,2326.0,535.34,272.0,75.03225806451613,0.23015477214101462,275.85388994307397
2021,1,Alpine Crest Apartments,Gas,34.900000000000006,245.59,272.0,1.0575757575757576,7.036962750716332,3.888146167557932
2021,1,Alpine Crest Apartments,Water,671.0,6991.92,272.0,42.03042521994135,10.420149031296573,154.52362213213732
2021,1,Alpine Crest Heights,Electric,7590.0,842.51,370.0,230.0,0.11100263504611331,621.6216216216217
2021,1,Alpine Crest Heights,Gas,33.372,345.12,370.0,1.1918571428571427,10.341603739661993,3.2212355212355206
2021,1,Alpine Heights Apartments,Electric,11693.0,1342.41,230.0,383.68333333333334,0.11480458393910888,1668.1884057971013
2021,1,Alpine Hills Apartments,Electric,15593.0,2100.93,216.0,503.5432900432901,0.13473545821843133,2331.218935385602
2021,1,Alpine Hills Apartments,Gas,61.5,432.36,216.0,1.8088235294117647,7.030243902439024,8.374183006535947
2021,1,Alpine Hills Apartments,Water,640.0,14555.28,216.0,47.407407407407405,22.742625,219.4787379972565
2021,1,Alpine Hills Heights,Electric,9978.0,1569.0,156.0,321.8709677419355,0.15724594107035478,2063.2754342431763
2021,1,Alpine Springs Apartments,Electric,63880.0,3691.8,113.0,1878.8235294117649,0.05779273638071384,16626.756897449246
2021,1,Alpine Springs Apartments,Gas,312.6,2073.84,113.0,11.164285714285715,6.634165067178503,98.79898862199747
2021,1,Alpine Valley Villas,Electric,13316.0,2117.7799999999997,396.0,404.38352272727275,0.1590402523280264,1021.1705119375575
2021,1,Bayshore Crest,Electric,12991.0,1757.7,324.0,382.0882352941176,0.13530136248171812,1179.2846768336965
2021,1,Bayshore Crest,Gas,1.6,40.7,324.0,0.047058823529411764,25.4375,0.14524328249818444
2021,1,Bayshore Springs,Electric,17135.0,1863.58,264.0,573.6494252873563,0.10875868106215349,2172.9144897248343
2021,1,Bayshore Springs,Gas,21.0,225.84,264.0,0.6363636363636364,10.754285714285714,2.4104683195592287
2021,1,Bayview Crest Residences,Electric,6108.0,1274.59,352.0,218.14285714285714,0.20867550753110672,619.724025974026
2021,1,Bayview Crest Residences,Gas,32.342,242.52,352.0,0.9512352941176471,7.498608620369798,2.7023729946524067
2021,1,Bayview Crest Residences,Water,1007.0,15326.61,352.0,69.44827586206897,15.220069513406157,197.29623824451411
2021,1,Bayview Terrace,Electric,23365.0,2204.39,102.0,730.1470588235294,0.09434581639203937,7158.304498269896
2021,1,Bayview Terrace,Gas,492.8,2554.8,102.0,15.4,5.184253246753247,150.98039215686273
2021,1,Bayview Terrace,Water,178.0,5536.240000000001,102.0,14.678318135764943,31.102471910112364,143.9050797624014
2021,1,Brookside Crest,Electric,76400.0,7406.33,351.0,2634.4827586206898,0.09694149214659686,7505.64888495923
2021,1,Brookside Crest,Gas,557.777,4020.9500000000003,351.0,17.992806451612903,7.208884554221489,51.261556842202
2021,1,Brookside Crest Apartments,Electric,104400.0,10327.65,392.0,3262.5,0.09892385057471265,8322.704081632653
2021,1,Brookside Crest Apartments,Gas,464.0,2882.95,392.0,14.5,6.213254310344827,36.98979591836735
2021,1,Brookside Grove,Electric,9110.0,1301.5900000000001,496.0,325.35714285714283,0.1428748627881449,655.9619815668202
2021,1,Brookside Grove,Water,1032.0,13396.58,496.0,67.06732348111659,12.981182170542636,135.21637798612215
2021,1,Brookside Heights,Electric,27600.0,2369.36,170.0,836.3636363636364,0.08584637681159421,4919.786096256685
2021,1,Brookside Heights,Gas,1.3,47.86,170.0,0.043333333333333335,36.815384615384616,0.25490196078431376
2021,1,Brookside Heights,Water,317.9,4403.78,170.0,18.165714285714284,13.852720981440704,106.85714285714283
